iris.in,scikit_z2,,3,78.9451,1.3051435947418213
iris.in,clustering_z2,grid_hashing 3c6da5d7,2,383.3500,1.4867768287658691
iris.in,clustering_z2,grid_hashing 5b17b966,3,96.9200,1.2931876182556152
iris.in,clustering_z2,grid_hashing 9a7aa40,3,187.2900,1.187058448791504
iris.in,clustering_z2,face_hashing 3c6da5d7,3,145.3500,0.9361493587493896
iris.in,clustering_z2,face_hashing 5b17b966,3,105.5000,0.9446654319763184
iris.in,clustering_z2,face_hashing 9a7aa40,3,141.4000,0.9667513370513916
gen_n100_d2.in,scikit_z2,,10,16.8798,0.9347586631774902
gen_n100_d2.in,clustering_z2,grid_hashing 3c6da5d7,9,26.1835,0.4244844913482666
gen_n100_d2.in,clustering_z2,grid_hashing 5b17b966,8,33.0164,0.4776277542114258
gen_n100_d2.in,clustering_z2,grid_hashing 9a7aa40,10,22.0941,0.4284172058105469
gen_n100_d2.in,clustering_z2,face_hashing 3c6da5d7,8,36.5627,0.40737318992614746
gen_n100_d2.in,clustering_z2,face_hashing 5b17b966,8,33.8320,0.4319338798522949
gen_n100_d2.in,clustering_z2,face_hashing 9a7aa40,7,59.3712,0.3987259864807129
gen_n100_d5.in,scikit_z2,,10,218.5678,0.9388151168823242
gen_n100_d5.in,clustering_z2,grid_hashing 3c6da5d7,7,493.9303,0.5713582038879395
gen_n100_d5.in,clustering_z2,grid_hashing 5b17b966,10,270.6436,0.5754909515380859
gen_n100_d5.in,clustering_z2,grid_hashing 9a7aa40,8,448.0943,0.6019721031188965
gen_n100_d5.in,clustering_z2,face_hashing 3c6da5d7,10,231.3496,0.41510939598083496
gen_n100_d5.in,clustering_z2,face_hashing 5b17b966,8,449.9161,0.41304540634155273
gen_n100_d5.in,clustering_z2,face_hashing 9a7aa40,8,443.2103,0.4539000988006592
gen_n100_d10.in,scikit_z2,,10,592.6354,0.9452047348022461
gen_n100_d10.in,clustering_z2,grid_hashing 3c6da5d7,7,1349.5843,1.032698631286621
gen_n100_d10.in,clustering_z2,grid_hashing 5b17b966,10,812.4525,1.066502571105957
gen_n100_d10.in,clustering_z2,grid_hashing 9a7aa40,9,1001.1704,0.8534033298492432
gen_n100_d10.in,clustering_z2,face_hashing 3c6da5d7,10,775.4279,0.44039201736450195
gen_n100_d10.in,clustering_z2,face_hashing 5b17b966,8,1114.4022,0.4223001003265381
gen_n100_d10.in,clustering_z2,face_hashing 9a7aa40,9,867.1578,0.3952622413635254
gen_n1000_d2.in,scikit_z2,,31,45.5438,0.9094715118408203
gen_n1000_d2.in,clustering_z2,grid_hashing 3c6da5d7,30,72.9061,1.7903709411621094
